ID,Distance,Contained,NPolys
bore1247,0,True,1
borg1235,0.2943044371398074,False,1
boro1277,0,True,2
boro1279,0,True,1
boro1282,0,True,2
boru1244,0.1647982672892296,False,1
boru1252,0,True,1
bose1237,0,True,1
bosn1248,0,True,1
boto1242,0,True,1
bouy1240,0,True,17
bowa1234,0.23499852013276015,False,1
brag1240,0.01567079360477632,False,1
brah1256,0,True,5
brek1238,0.01087077886186942,False,1
brem1238,0,True,1
brer1240,0,True,1
bret1244,0,True,1
brib1243,0,True,1
brun1245,0,True,2
buaa1245,0.1864154736701093,False,1
buam1238,0.0883884405909757,False,4
bube1242,0,True,1
bubi1249,0,True,1
budu1248,0,True,1
budu1250,0,True,1
budu1265,0,False,4
budz1238,2.206305954591645,False,1
buen1244,0,True,1
buga1247,0.772471918514994,False,1
buga1250,0,True,2
bugh1239,0,True,3
bugi1244,0,True,33
bugl1243,0.15936791864558808,False,1
bugu1246,0.19065218510972914,False,1
buhi1245,0,True,1
buhu1237,0,True,1
bujh1238,0.161046339156138,False,1
buka1257,0,True,1
buka1261,0.08213494493384467,False,3
buki1248,0,False,4
buki1249,0,True,1
bulg1262,0,True,2
bulg1265,0.009469126773586278,False,1
buli1254,0,True,1
buli1255,0,True,1
bull1247,1.8167929412108688,False,1
bulu1251,0.08948241080184231,False,2
bulu1253,0,True,1
buma1244,0.1248955555786559,False,1
buma1247,0,True,2
bumb1241,0,True,1
bumm1238,0.029425011158419615,False,1
bumt1240,0,True,1
buna1275,0,True,1
buna1276,0,True,1
buna1277,0,True,1
buna1278,0,True,1
bund1253,0,True,2
bung1264,0.3240336982178306,False,1
bung1269,0,True,15
bung1270,0,True,1
bunn1240,0,True,1
bunu1267,0,True,1
buol1237,0,True,1
bura1267,0,True,1
bura1271,0,True,1
bura1292,0,True,1
burj1242,1.345472228669206,False,3
burm1263,0,True,1
burm1264,0.11513938920815527,False,1
buru1296,0.15387147682297647,False,6
buru1301,0,True,2
buru1303,0,True,1
buru1304,0,True,1
buru1306,0,True,1
buru1320,0,True,1
busa1251,0.03961027989715655,False,1
busa1253,0,False,1
busa1254,0,False,1
busa1255,0,False,1
bush1247,0.3628303374989203,False,1
buta1242,0.041918980285854696,False,1
butm1237,0,True,1
butu1244,0,True,1
buuu1244,0,True,1
buwa1243,0,True,1
buyu1239,0,False,4
bwaa1238,0,True,2
bwai1242,0,True,1
bwan1241,0.2088305588145231,False,2
bwis1242,0,True,1
byan1241,0,True,1
byep1241,0,True,2
caac1237,0,True,2
cabe1245,0,True,1
caca1247,0,True,1
cadd1256,0,True,1
cahu1264,0.31068270725226127,False,1
